latitude;longetude;formattedAddress;cep;streetName;streetNumber;city;state;country
-235.097.018;-4.641.673.850.000.000;Vila Curuca, Sǜo Paulo - SP, Brasil;not returned by google maps;not returned by google maps;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-235.409.119;-466.432.267;Pra��a Jǧlio Mesquita, 97 - Repǧblica, Sǜo Paulo - SP, 01209-010, Brasil;01209-010;Pra��a Jǧlio Mesquita;97;Sǜo Paulo;Sǜo Paulo;Brasil
-235.037.531;-466.750.828;Av. Nossa Senhora do �? - Limǜo, Sǜo Paulo - SP, 02675-031, Brasil;02675-031;Avenida Nossa Senhora do �?;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-234.991.968;-467.031.368;Nossa Sra. do O, Sǜo Paulo - SP, 02675-031, Brasil;02675-031;not returned by google maps;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-235.807.389;-465.520.552;Rua Jabia��u, 97 - Vila Ivone, Sǜo Paulo - SP, 03275-060, Brasil;03275-060;Rua Jabia��u;97;Sǜo Paulo;Sǜo Paulo;Brasil
-234.419.328;-467.276.406;R. Jairo de Almeida Machado, 253 - Jardim Pirituba, Sǜo Paulo - SP, 02998-060, Brasil;02998-060;Rua Jairo de Almeida Machado;253;Sǜo Paulo;Sǜo Paulo;Brasil
-235.098.453;-466.992.407;Rua Francisco Corazza - ǁgua Branca, Sǜo Paulo - SP, 05038-130, Brasil;05038-130;Rua Francisco Corazza;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-234.750.541;-467.510.796;R. Des. Manoel Carlos da Costa Leite, 114 - Conj. Res. Vista Verde, Sǜo Paulo - SP, 05171-560, Brasil;05171-560;Rua Desembargador Manoel Carlos da Costa Leite;114;Sǜo Paulo;Sǜo Paulo;Brasil
-235.646.154;-46.695.674;R. Fernǜo Dias, 400 - Pinheiros, Sǜo Paulo - SP, 05427-000, Brasil;05427-000;Rua Fernǜo Dias;400;Sǜo Paulo;Sǜo Paulo;Brasil
-235.441.201;-465.883.377;R. Serra de JairǸ, 78 - Quarta Parada, Sǜo Paulo - SP, 03175-010, Brasil;03175-010;Rua Serra de JairǸ;78;Sǜo Paulo;Sǜo Paulo;Brasil
-23.639.473;-466.964.561;Av. Adolfo Pinheiro, 1710 - Santo Amaro, Sǜo Paulo - SP, 04734-003, Brasil;04734-003;Avenida Adolfo Pinheiro;1710;Sǜo Paulo;Sǜo Paulo;Brasil
-235.417.018;-466.526.879;R. Jaguaribe, 495 - Consola��ǜo, Sǜo Paulo - SP, 01224-001, Brasil;01224-001;Rua Jaguaribe;495;Sǜo Paulo;Sǜo Paulo;Brasil
-236.759.222;-466.439.222;R. Marco Gagliano - American��polis, Sǜo Paulo - SP, 04412-120, Brasil;04412-120;Rua Marco Gagliano;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-236.759.222;-466.439.222;R. Marco Gagliano - American��polis, Sǜo Paulo - SP, 04412-120, Brasil;04412-120;Rua Marco Gagliano;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-236.667.736;-466.727.737;R. Michel Abud Atie - Vila Constancia, Sǜo Paulo - SP, 04657-005, Brasil;04657-005;Rua Michel Abud Atie;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-236.387.644;-466.495.823;R. das Oiticicas, 566 - Parque Jabaquara, Sǜo Paulo - SP, 04346-090, Brasil;04346-090;Rua das Oiticicas;566;Sǜo Paulo;Sǜo Paulo;Brasil
-236.128.523;-466.676.605;Alameda dos Jurupis, 1809 - Moema, Sǜo Paulo - SP, 04088-006, Brasil;04088-006;Alameda dos Jurupis;1809;Sǜo Paulo;Sǜo Paulo;Brasil
-235.986.077;-465.771.252;R. Ibitirama, 2200 - Vila Alpina, Sǜo Paulo - SP, 03134-002, Brasil;03134-002;Rua Ibitirama;2200;Sǜo Paulo;Sǜo Paulo;Brasil
-234.685.414;-465.910.125;R. Benjamin Pereira, 262 - Vila Santa Terezinha (Zona Norte), Sǜo Paulo - SP, 02274-000, Brasil;02274-000;Rua Benjamin Pereira;262;Sǜo Paulo;Sǜo Paulo;Brasil
-23.559.793;-46.571.546;R. Butiǭ, 175 - ǁgua Rasa, Sǜo Paulo - SP, 03346-010, Brasil;03346-010;Rua Butiǭ;175;Sǜo Paulo;Sǜo Paulo;Brasil
-23.559.793;-46.571.546;R. Butiǭ, 175 - ǁgua Rasa, Sǜo Paulo - SP, 03346-010, Brasil;03346-010;Rua Butiǭ;175;Sǜo Paulo;Sǜo Paulo;Brasil
-236.018.729;-466.650.457;Av. Lavandisca, 515 - Indian��polis, Sǜo Paulo - SP, 04515-011, Brasil;04515-011;Avenida Lavandisca;515;Sǜo Paulo;Sǜo Paulo;Brasil
-23.529.068;-467.428.196;Av. Mofarrej, 710 - Vila Leopoldina, Sǜo Paulo - SP, 05311-000, Brasil;05311-000;Avenida Mofarrej;710;Sǜo Paulo;Sǜo Paulo;Brasil
-235.603.206;-466.744.794;R. Alves Guimarǜes, 170 - Pinheiros, Sǜo Paulo - SP, 05410-000, Brasil;05410-000;Rua Alves Guimarǜes;170;Sǜo Paulo;Sǜo Paulo;Brasil
-236.150.106;-466.051.328;Rua Vergueiro, 8424 - Ipiranga, Sǜo Paulo - SP, 04272-300, Brasil;04272-300;Rua Vergueiro;8424;Sǜo Paulo;Sǜo Paulo;Brasil
-235.839.955;-467.349.677;R. Prof. Mǭximo Ribeiro Nunes, 681 - Jardim Peri Peri, Sǜo Paulo - SP, 05535-000, Brasil;05535-000;Rua Professor Mǭximo Ribeiro Nunes;681;Sǜo Paulo;Sǜo Paulo;Brasil
-235.097.018;-4.641.673.850.000.000;Vila Curuca, Sǜo Paulo - SP, Brasil;not returned by google maps;not returned by google maps;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-23.511.254;-46.431.008;Av. Nordestina, 3010 - Cidade Nova Sǜo Miguel, Sǜo Paulo - SP, 08032-000, Brasil;08032-000;Avenida Nordestina;3010;Sǜo Paulo;Sǜo Paulo;Brasil
-236.055.782;-467.405.768;Rua Ibiraporǜ, 530 - Jardim Londrina, Sǜo Paulo - SP, 05638-110, Brasil;05638-110;Rua Ibiraporǜ;530;Sǜo Paulo;Sǜo Paulo;Brasil
-235.266.064;-4.643.298.559.999.990;R. Damǭsio Pinto, 1450 - Parada XV de Novembro, Sǜo Paulo - SP, 08246-063, Brasil;08246-063;Rua Damǭsio Pinto;1450;Sǜo Paulo;Sǜo Paulo;Brasil
-236.408.841;-46.736.602;Av. Alberto Augusto Alves, 303 - Jardim Sao Luiz, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;303;Sǜo Paulo;Sǜo Paulo;Brasil
-236.408.841;-46.736.602;Av. Alberto Augusto Alves, 303 - Jardim Sao Luiz, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;303;Sǜo Paulo;Sǜo Paulo;Brasil
-236.408.841;-46.736.602;Av. Alberto Augusto Alves, 303 - Jardim Sao Luiz, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;303;Sǜo Paulo;Sǜo Paulo;Brasil
-236.408.841;-46.736.602;Av. Alberto Augusto Alves, 303 - Jardim Sao Luiz, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;303;Sǜo Paulo;Sǜo Paulo;Brasil
-236.416.625;-467.355.132;Av. Alberto Augusto Alves, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-23.641.711;-467.356.442;Av. Alberto Augusto Alves, 151 - Vila Andrade, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;151;Sǜo Paulo;Sǜo Paulo;Brasil
-236.408.841;-46.736.602;Av. Alberto Augusto Alves, 303 - Jardim Sao Luiz, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;303;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-235.465.636;-465.725.127;R. Coelho Lisboa, 260 - TatuapǸ, Sǜo Paulo - SP, 03323-040, Brasil;03323-040;Rua Coelho Lisboa;260;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-2.365.088;-4.676.587;R. Enga. Amalia Perola Cassab, 20 - Parque Munhoz, Sǜo Paulo - SP, 05782-351, Brasil;05782-351;not returned by google maps;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-236.408.841;-46.736.602;Av. Alberto Augusto Alves, 303 - Jardim Sao Luiz, Sǜo Paulo - SP, 05724-030, Brasil;05724-030;Avenida Alberto Augusto Alves;303;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-235.072.454;-467.356.635;R. Prof. JosǸ Maria Calazans Nogueira - Parque Sao Domingos, Sǜo Paulo - SP, 02675-031, Brasil;02675-031;Rua Professor JosǸ Maria Calazans Nogueira;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-23.645.947;-466.073.136;Av. Padre Arlindo Vieira, 3175 - Vila das Merces, Sǜo Paulo - SP, 04166-003, Brasil;04166-003;Avenida Padre Arlindo Vieira;3175;Sǜo Paulo;Sǜo Paulo;Brasil
-235.125.236;-464.884.884;R. Sǜo Gon��alo do Sapuca��, 150 - Vila Santa Lucia, Sǜo Paulo - SP, 03891-050, Brasil;03891-050;Rua Sǜo Gon��alo do Sapuca��;150;Sǜo Paulo;Sǜo Paulo;Brasil
-235.098.453;-466.992.407;Rua Francisco Corazza - ǁgua Branca, Sǜo Paulo - SP, 05038-130, Brasil;05038-130;Rua Francisco Corazza;not returned by google maps;Sǜo Paulo;Sǜo Paulo;Brasil
-236.689.158;-467.173.701;Rua Augusto Ferreira de Morais, 602 - Vila Socorro, Sǜo Paulo - SP, 04763-001, Brasil;04763-001;Rua Augusto Ferreira de Morais;602;Sǜo Paulo;Sǜo Paulo;Brasil
-236.689.158;-467.173.701;Rua Augusto Ferreira de Morais, 602 - Vila Socorro, Sǜo Paulo - SP, 04763-001, Brasil;04763-001;Rua Augusto Ferreira de Morais;602;Sǜo Paulo;Sǜo Paulo;Brasil
-236.197.442;-467.387.312;R. Domingos Lopes da Silva, 911 - Vila Suzana, Sǜo Paulo - SP, 05641-030, Brasil;05641-030;Rua Domingos Lopes da Silva;911;Sǜo Paulo;Sǜo Paulo;Brasil
-236.005.015;-466.516.198;Av. Rubem Berta, 850 - Indian��polis, Sǜo Paulo - SP, 04074-000, Brasil;04074-000;Avenida Rubem Berta;850;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
-235.689.076;-467.130.653;R. Raul Saddi, 88 - Butantǜ, Sǜo Paulo - SP, 05503-010, Brasil;05503-010;Rua Raul Saddi;88;Sǜo Paulo;Sǜo Paulo;Brasil
